"","gp","slope","Ine","p","r2","sig"
"1",3,0.432654788332605,-0.116283167691796,2.4502409421539e-05,0.457488398789504,"T"
"2",4,0.234891252605102,0.138748856009239,2.28786366298868e-06,0.451891007917556,"T"
"3",7,0.488493947097452,-0.178421123184594,8.41803243971354e-05,0.409387340597597,"T"
"4",8,0.254614117049225,0.118455594425068,6.49443736865683e-05,0.344064517458892,"T"
"5",13,-0.00370205911506292,0.984842615308003,0.668504611649412,-0.028832831268224,"F"
"6",14,0.0167415606825164,0.978128139563045,1.55938342191372e-05,0.392230036798682,"T"
