,Act.ele,Elevation,pre.AI,bio12,bio1,Aridity.index,GTmin,pre.bio12,pre.bio1,pre.GT
HDX048,4599,4600,0.787357867,410.3279777,2.34127044,0.775447519,3.810697758,410.7913593,2.404819653,3.849212591
HDX049,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX050,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX051,4610,4600,0.777559066,410.3279777,2.34127044,0.775447519,3.810697758,413.5184021,2.356108719,3.812408858
HDX052,4604,4600,0.782925459,410.3279777,2.34127044,0.775447519,3.810697758,412.0346877,2.382835536,3.832620152
HDX053,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX054,4599,4600,0.787357867,410.3279777,2.34127044,0.775447519,3.810697758,410.7913593,2.404819653,3.849212591
HDX055,4583,4600,0.801299731,410.3279777,2.34127044,0.775447519,3.810697758,406.7705576,2.473408003,3.90077926
HDX056,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX057,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX058,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX059,4590,4600,0.79524551,410.3279777,2.34127044,0.775447519,3.810697758,408.5375616,2.443730755,3.878505556
HDX060,4613,4600,0.774856435,410.3279777,2.34127044,0.775447519,3.810697758,414.2568723,2.342603816,3.802180334
HDX061,4696,4700,0.694945992,435.6035556,1.861290798,0.68375867,3.445138587,433.7924245,1.931561103,3.486706082
HDX062,4694,4700,0.696988147,435.6035556,1.861290798,0.68375867,3.445138587,433.3420111,1.942314716,3.495045135
HDX063,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX064,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX065,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX066,4707,4700,0.683611216,435.6035556,1.861290798,0.68375867,3.445138587,436.2517595,1.871666833,3.440190501
HDX067,4694,4700,0.696988147,435.6035556,1.861290798,0.68375867,3.445138587,433.3420111,1.942314716,3.495045135
HDX068,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX069,4691,4700,0.700040582,435.6035556,1.861290798,0.68375867,3.445138587,432.6645091,1.958366527,3.507485448
HDX070,4683,4700,0.70811707,435.6035556,1.861290798,0.68375867,3.445138587,430.8467977,2.000710188,3.540259128
HDX071,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX072,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX073,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX074,4718,4700,0.672102258,435.6035556,1.861290798,0.68375867,3.445138587,438.6807358,1.81050435,3.392573576
HDX075,4722,4700,0.667873996,435.6035556,1.861290798,0.68375867,3.445138587,439.556473,1.787949013,3.374985271
HDX076,4799,4800,0.581990797,436.3738537,1.346443444,0.626967414,3.01686735,455.6319894,1.321073477,3.008025758
HDX077,4805,4800,0.574940158,436.3738537,1.346443444,0.626967414,3.01686735,456.8221535,1.28208377,2.977165109
HDX078,4792,4800,0.590151044,436.3738537,1.346443444,0.626967414,3.01686735,454.2320487,1.366084577,3.043615707
HDX079,4792,4800,0.590151044,436.3738537,1.346443444,0.626967414,3.01686735,454.2320487,1.366084577,3.043615707
HDX080,4793,4800,0.588989613,436.3738537,1.346443444,0.626967414,3.01686735,454.4327929,1.359685863,3.038558734
HDX081,4809,4800,0.570210941,436.3738537,1.346443444,0.626967414,3.01686735,457.6105782,1.255881011,2.956409303
HDX082,4793,4800,0.588989613,436.3738537,1.346443444,0.626967414,3.01686735,454.4327929,1.359685863,3.038558734
HDX083,4792,4800,0.590151044,436.3738537,1.346443444,0.626967414,3.01686735,454.2320487,1.366084577,3.043615707
HDX084,4791,4800,0.591311036,436.3738537,1.346443444,0.626967414,3.01686735,454.0310536,1.37247281,3.048663577
HDX085,4783,4800,0.600539145,436.3738537,1.346443444,0.626967414,3.01686735,452.4140604,1.423201353,3.088718868
HDX086,4792,4800,0.590151044,436.3738537,1.346443444,0.626967414,3.01686735,454.2320487,1.366084577,3.043615707
HDX087,4792,4800,0.590151044,436.3738537,1.346443444,0.626967414,3.01686735,454.2320487,1.366084577,3.043615707
HDX088,4792,4800,0.590151044,436.3738537,1.346443444,0.626967414,3.01686735,454.2320487,1.366084577,3.043615707
HDX089,4807,4800,0.572578428,436.3738537,1.346443444,0.626967414,3.01686735,457.2168676,1.269003353,2.96680541
HDX090,4808,4800,0.571395404,436.3738537,1.346443444,0.626967414,3.01686735,457.4138484,1.262447422,2.961611907
HDX091,4901,4900,0.455082006,477.5273555,0.587184302,0.462201872,2.43157382,474.6363837,0.606932993,2.438831271
HDX092,4903,4900,0.452443887,477.5273555,0.587184302,0.462201872,2.43157382,474.9829255,0.591840204,2.426723986
HDX093,4905,4900,0.449800011,477.5273555,0.587184302,0.462201872,2.43157382,475.3284637,0.57670549,2.414580292
HDX094,4905,4900,0.449800011,477.5273555,0.587184302,0.462201872,2.43157382,475.3284637,0.57670549,2.414580292
HDX095,4905,4900,0.449800011,477.5273555,0.587184302,0.462201872,2.43157382,475.3284637,0.57670549,2.414580292
HDX096,4919,4900,0.431131648,477.5273555,0.587184302,0.462201872,2.43157382,477.7191307,0.469588612,2.328555011
HDX097,4910,4900,0.443165128,477.5273555,0.587184302,0.462201872,2.43157382,476.1879186,0.538685287,2.384061773
HDX098,4905,4900,0.449800011,477.5273555,0.587184302,0.462201872,2.43157382,475.3284637,0.57670549,2.414580292
HDX099,4903,4900,0.452443887,477.5273555,0.587184302,0.462201872,2.43157382,474.9829255,0.591840204,2.426723986
HDX100,4883,4900,0.478565957,477.5273555,0.587184302,0.462201872,2.43157382,471.4723457,0.740881497,2.546158479
HDX101,4905,4900,0.449800011,477.5273555,0.587184302,0.462201872,2.43157382,475.3284637,0.57670549,2.414580292
HDX102,4905,4900,0.449800011,477.5273555,0.587184302,0.462201872,2.43157382,475.3284637,0.57670549,2.414580292
HDX103,4905,4900,0.449800011,477.5273555,0.587184302,0.462201872,2.43157382,475.3284637,0.57670549,2.414580292
HDX104,4897,4900,0.460340968,477.5273555,0.587184302,0.462201872,2.43157382,473.9402893,0.636992798,2.462936618
HDX105,4879,4900,0.483721273,477.5273555,0.587184302,0.462201872,2.43157382,470.7581867,0.770186663,2.569608481
HDX106,4995,5000,0.324865928,494.1755775,-0.206942549,0.322301915,1.783568225,489.8389673,-0.147748384,1.830431747
HDX107,4986,5000,0.337884044,494.1755775,-0.206942549,0.322301915,1.783568225,488.4793691,-0.071482635,1.892164285
HDX108,5011,5000,0.301434706,494.1755775,-0.206942549,0.322301915,1.783568225,492.205851,-0.285428159,1.71886461
HDX109,5011,5000,0.301434706,494.1755775,-0.206942549,0.322301915,1.783568225,492.205851,-0.285428159,1.71886461
HDX110,5011,5000,0.301434706,494.1755775,-0.206942549,0.322301915,1.783568225,492.205851,-0.285428159,1.71886461
HDX112,5013,5000,0.298479892,494.1755775,-0.206942549,0.322301915,1.783568225,492.4971954,-0.302826791,1.704754881
HDX113,5011,5000,0.301434706,494.1755775,-0.206942549,0.322301915,1.783568225,492.205851,-0.285428159,1.71886461
HDX114,5011,5000,0.301434706,494.1755775,-0.206942549,0.322301915,1.783568225,492.205851,-0.285428159,1.71886461
HDX115,5003,5000,0.313196382,494.1755775,-0.206942549,0.322301915,1.783568225,491.0304379,-0.216252876,1.774939443
HDX116,5011,5000,0.301434706,494.1755775,-0.206942549,0.322301915,1.783568225,492.205851,-0.285428159,1.71886461
HDX117,5011,5000,0.301434706,494.1755775,-0.206942549,0.322301915,1.783568225,492.205851,-0.285428159,1.71886461
HDX118,5011,5000,0.301434706,494.1755775,-0.206942549,0.322301915,1.783568225,492.205851,-0.285428159,1.71886461
HDX119,5003,5000,0.313196382,494.1755775,-0.206942549,0.322301915,1.783568225,491.0304379,-0.216252876,1.774939443
HDX120,4984,5000,0.340761123,494.1755775,-0.206942549,0.322301915,1.783568225,488.1744763,-0.054649983,1.905782505
HDX121,5090,5100,0.180341224,552.1613502,-1.317808698,0,0.957140143,502.950846,-1.004552381,1.133846567
HDX122,5108,5100,0.151493598,552.1613502,-1.317808698,0,0.957140143,505.1800389,-1.177553471,0.992605259
HDX123,5104,5100,0.157944488,552.1613502,-1.317808698,0,0.957140143,504.6916879,-1.138815314,1.024247073
HDX124,5104,5100,0.157944488,552.1613502,-1.317808698,0,0.957140143,504.6916879,-1.138815314,1.024247073
HDX125,5117,5100,0.136894882,552.1613502,-1.317808698,0,0.957140143,506.2641513,-1.265327471,0.920878711
HDX126,5104,5100,0.157944488,552.1613502,-1.317808698,0,0.957140143,504.6916879,-1.138815314,1.024247073
HDX127,5104,5100,0.157944488,552.1613502,-1.317808698,0,0.957140143,504.6916879,-1.138815314,1.024247073
HDX128,5104,5100,0.157944488,552.1613502,-1.317808698,0,0.957140143,504.6916879,-1.138815314,1.024247073
HDX129,5090,5100,0.180341224,552.1613502,-1.317808698,0,0.957140143,502.950846,-1.004552381,1.133846567
HDX130,5104,5100,0.157944488,552.1613502,-1.317808698,0,0.957140143,504.6916879,-1.138815314,1.024247073
HDX131,5101,5100,0.162767541,552.1613502,-1.317808698,0,0.957140143,504.3227901,-1.109871747,1.047882862
HDX132,5104,5100,0.157944488,552.1613502,-1.317808698,0,0.957140143,504.6916879,-1.138815314,1.024247073
HDX133,5107,5100,0.15310848,552.1613502,-1.317808698,0,0.957140143,505.0583275,-1.16785321,1.000529366
HDX134,5191,5200,0.012440213,482.2928911,-1.900812248,0.091365332,0.336339286,514.4074575,-2.019212262,0.30317481
HDX135,5190,5200,0.014174575,482.2928911,-1.900812248,0.091365332,0.336339286,514.3065706,-2.008642069,0.311854383
HDX136,5192,5200,0.01070441,482.2928911,-1.900812248,0.091365332,0.336339286,514.5080935,-2.029792935,0.294486134
HDX137,5192,5200,0.01070441,482.2928911,-1.900812248,0.091365332,0.336339286,514.5080935,-2.029792935,0.294486134
HDX138,5197,5200,0.002003807,482.2928911,-1.900812248,0.091365332,0.336339286,515.0075101,-2.08285352,0.250906227
HDX139,5193,5200,0.008967169,482.2928911,-1.900812248,0.091365332,0.336339286,514.6084786,-2.04038409,0.285788357
HDX140,5192,5200,0.01070441,482.2928911,-1.900812248,0.091365332,0.336339286,514.5080935,-2.029792935,0.294486134
