,gp,slope,Ine,p,r2,sig
1,A,0.119 ,0.228507824,2.45E-07,0.227232794,T
2,B,-0.027 ,0.34263964,1.43E-08,0.231196799,T
3,C,0.015 ,0.136313927,0.015057352,0.048239511,T
4,D,-0.004 ,0.15049811,0.005692033,0.054599884,T
5,E,0.104 ,0.092193898,1.70E-07,0.232665186,T
6,F,-0.023 ,0.19214153,1.73E-08,0.228796917,T
7,G,-0.335 ,1.110530059,1.68E-06,0.197901137,T
8,H,0.083 ,0.783395565,8.22E-07,0.178583492,T
