,Elevation,pre.AI,variable,value,gp
603,4600,0.784,Neg.Pos,1.347305979,G
604,4600,0.784,Neg.Pos,1.372448461,G
605,4600,0.784,Neg.Pos,0.973038129,G
606,4600,0.784,Neg.Pos,0.995920985,G
607,4800,0.586,Neg.Pos,0.998584125,H
608,4800,0.586,Neg.Pos,0.985868595,H
609,4800,0.586,Neg.Pos,0.931213778,H
610,4800,0.586,Neg.Pos,0.879181215,H
611,4800,0.586,Neg.Pos,0.915143877,H
612,4800,0.586,Neg.Pos,0.934468902,H
613,4800,0.586,Neg.Pos,1.03178476,H
614,4800,0.586,Neg.Pos,1.165650004,H
615,4800,0.586,Neg.Pos,0.94518811,H
616,4800,0.586,Neg.Pos,1.00136837,H
617,4800,0.586,Neg.Pos,0.928221032,H
618,4800,0.586,Neg.Pos,0.948165839,H
619,4900,0.452,Neg.Pos,0.952884268,H
620,4900,0.452,Neg.Pos,0.936224186,H
621,4900,0.452,Neg.Pos,0.955082623,H
622,4900,0.452,Neg.Pos,0.938070801,H
623,4900,0.452,Neg.Pos,0.969312885,H
624,4900,0.452,Neg.Pos,1.052166832,H
625,4900,0.452,Neg.Pos,0.904863186,H
626,4900,0.452,Neg.Pos,0.991502057,H
627,4900,0.452,Neg.Pos,1.002108131,H
628,4900,0.452,Neg.Pos,0.922185883,H
629,4900,0.452,Neg.Pos,1.010722652,H
630,4900,0.452,Neg.Pos,1.019481934,H
631,5000,0.308,Neg.Pos,0.858404099,H
632,5000,0.308,Neg.Pos,0.959720158,H
633,5000,0.308,Neg.Pos,0.953219088,H
634,5000,0.308,Neg.Pos,0.976937686,H
635,5000,0.308,Neg.Pos,0.971056018,H
636,5000,0.308,Neg.Pos,0.943863436,H
637,5000,0.308,Neg.Pos,0.987250389,H
638,5000,0.308,Neg.Pos,0.972937853,H
639,5000,0.308,Neg.Pos,0.959222627,H
640,5000,0.308,Neg.Pos,0.991788759,H
641,5000,0.308,Neg.Pos,0.948113148,H
642,5000,0.308,Neg.Pos,0.923959073,H
643,4300,0.982,Neg.Pos,4.320973829,G
644,4300,0.982,Neg.Pos,2.005511362,G
645,4300,0.982,Neg.Pos,1.013069449,G
646,4300,0.982,Neg.Pos,4.494130629,G
647,4400,0.936,Neg.Pos,1.620400646,G
648,4400,0.936,Neg.Pos,1.629416454,G
649,4400,0.936,Neg.Pos,1.53787538,G
650,4400,0.936,Neg.Pos,3.396532168,G
651,4500,0.865,Neg.Pos,1.579775526,G
652,4500,0.865,Neg.Pos,1.2733415,G
653,4500,0.865,Neg.Pos,1.169813778,G
654,4500,0.865,Neg.Pos,0.995400337,G
655,4500,0.865,Neg.Pos,1.310544138,G
656,4500,0.865,Neg.Pos,1.588175784,G
657,4500,0.865,Neg.Pos,4.592111908,G
658,4500,0.865,Neg.Pos,1.15014909,G
659,4500,0.865,Neg.Pos,1.162791333,G
660,4500,0.865,Neg.Pos,1.026380409,G
661,4500,0.865,Neg.Pos,1.703662076,G
662,4500,0.865,Neg.Pos,1.103193853,G
663,4500,0.865,Neg.Pos,2.454481149,G
664,4500,0.865,Neg.Pos,1.219445959,G
665,4600,0.784,Neg.Pos,1.648617076,G
666,4600,0.784,Neg.Pos,1.509808299,G
667,4600,0.784,Neg.Pos,1.419385246,G
668,4600,0.784,Neg.Pos,1.558358997,G
669,4600,0.784,Neg.Pos,1.412607593,G
670,4600,0.784,Neg.Pos,1.781991521,G
671,4600,0.784,Neg.Pos,1.827640739,G
672,4600,0.784,Neg.Pos,1.563545449,G
673,4600,0.784,Neg.Pos,1.221391675,G
674,4600,0.784,Neg.Pos,1.488963878,G
675,4600,0.784,Neg.Pos,2.134828982,G
676,4600,0.784,Neg.Pos,1.692437039,G
677,4600,0.784,Neg.Pos,1.173465448,G
678,4600,0.784,Neg.Pos,1.217930772,G
679,4700,0.694,Neg.Pos,1.149589158,G
680,4700,0.694,Neg.Pos,1.042353832,G
681,4700,0.694,Neg.Pos,1.306042081,G
682,4700,0.694,Neg.Pos,1.952773831,G
683,4700,0.694,Neg.Pos,1.243506212,G
684,4700,0.694,Neg.Pos,1.54210361,G
685,4700,0.694,Neg.Pos,1.320914228,G
686,4700,0.694,Neg.Pos,1.229058145,G
687,4700,0.694,Neg.Pos,1.23684839,G
688,4700,0.694,Neg.Pos,1.288360852,G
689,4700,0.694,Neg.Pos,1.453059938,G
690,4700,0.694,Neg.Pos,1.380367038,G
691,4700,0.694,Neg.Pos,1.186833021,G
692,4800,0.586,Neg.Pos,1.125978815,H
693,4800,0.586,Neg.Pos,1.442591596,H
694,4800,0.586,Neg.Pos,1.392472619,H
695,4800,0.586,Neg.Pos,1.180732924,H
696,4800,0.586,Neg.Pos,0.896267737,H
697,4800,0.586,Neg.Pos,1.614137018,H
698,4800,0.586,Neg.Pos,1.883693333,H
699,4800,0.586,Neg.Pos,1.400707275,H
700,4800,0.586,Neg.Pos,1.09646434,H
701,4800,0.586,Neg.Pos,1.477063911,H
702,4800,0.586,Neg.Pos,1.143833974,H
703,4800,0.586,Neg.Pos,0.987671757,H
704,4800,0.586,Neg.Pos,0.925856278,H
705,4800,0.586,Neg.Pos,1.077946291,H
706,4900,0.452,Neg.Pos,1.051887433,H
707,4900,0.452,Neg.Pos,0.914827426,H
708,4900,0.452,Neg.Pos,1.91051464,H
709,4900,0.452,Neg.Pos,1.669534134,H
710,4900,0.452,Neg.Pos,1.144469936,H
711,4900,0.452,Neg.Pos,1.097466189,H
712,4900,0.452,Neg.Pos,1.20095544,H
713,4900,0.452,Neg.Pos,0.943704493,H
714,4900,0.452,Neg.Pos,1.163072086,H
715,4900,0.452,Neg.Pos,1.127682893,H
716,4900,0.452,Neg.Pos,0.992851575,H
717,4900,0.452,Neg.Pos,1.10768547,H
718,5000,0.308,Neg.Pos,0.996291009,H
719,5000,0.308,Neg.Pos,1.039186797,H
720,5000,0.308,Neg.Pos,0.998509404,H
721,5000,0.308,Neg.Pos,1.080159394,H
722,5000,0.308,Neg.Pos,1.0068371,H
723,5000,0.308,Neg.Pos,0.952804703,H
724,5000,0.308,Neg.Pos,1.008648559,H
725,5000,0.308,Neg.Pos,1.024387174,H
726,5000,0.308,Neg.Pos,1.113828379,H
727,5000,0.308,Neg.Pos,1.094274246,H
728,5100,0.159,Neg.Pos,1.146870894,H
729,5100,0.159,Neg.Pos,1.177719722,H
730,5100,0.159,Neg.Pos,1.095766524,H
731,5100,0.159,Neg.Pos,1.139099802,H
732,5100,0.159,Neg.Pos,1.068631442,H
733,5100,0.159,Neg.Pos,1.145459,H
734,5100,0.159,Neg.Pos,1.126365857,H
735,5100,0.159,Neg.Pos,1.03556054,H
736,5100,0.159,Neg.Pos,1.125397639,H
737,5100,0.159,Neg.Pos,1.088662778,H
738,5100,0.159,Neg.Pos,1.044542477,H
739,5100,0.159,Neg.Pos,1.902673732,H
740,5100,0.159,Neg.Pos,1.12160728,H
741,5200,0.012,Neg.Pos,1.024666671,H
742,5200,0.012,Neg.Pos,1.309934086,H
743,5200,0.012,Neg.Pos,0.70062232,H
744,5200,0.012,Neg.Pos,1.351403277,H
745,5200,0.012,Neg.Pos,1.193143681,H
746,5200,0.012,Neg.Pos,1.198321385,H
747,5200,0.012,Neg.Pos,0.895156669,H
748,5200,0.012,Neg.Pos,1.505195962,H
749,5200,0.012,Neg.Pos,1.217214743,H
750,5200,0.012,Neg.Pos,1.813204795,H
751,5200,0.012,Neg.Pos,1.916524984,H
752,5200,0.012,Neg.Pos,0.925978501,H
