Ele,variable,gp,AI,value,se
5200,Plant.Rich.CV,I,0.012,0.37188872,0.013573229
5100,Plant.Rich.CV,I,0.159,0.20585701,0.005080393
5000,Plant.Rich.CV,I,0.308,0.37867568,0.016235495
4900,Plant.Rich.CV,I,0.452,0.45642918,0.008147421
4800,Plant.Rich.CV,I,0.586,0.3187975,0.008271409
4700,Plant.Rich.CV,J,0.694,0.16931399,0.002134925
4600,Plant.Rich.CV,J,0.784,0.23321742,0.004485263
4500,Plant.Rich.CV,J,0.865,0.3136528,0.018547853
4400,Plant.Rich.CV,J,0.936,0.26094072,0.021850755
4300,Plant.Rich.CV,J,0.982,0.37254902,0
5200,Plant.Rich.Asy,K,0.012,0.70046856,0.024565788
5100,Plant.Rich.Asy,K,0.159,0.68089224,0.016391953
5000,Plant.Rich.Asy,K,0.308,1.30405936,0.09472065
4900,Plant.Rich.Asy,K,0.452,1.48516585,0.206211113
4800,Plant.Rich.Asy,K,0.586,0.82917735,0.010358563
4700,Plant.Rich.Asy,L,0.694,1.60980475,0.079276173
4600,Plant.Rich.Asy,L,0.784,1.20657347,0.277098978
4500,Plant.Rich.Asy,L,0.865,1.13509771,0.078243895
4400,Plant.Rich.Asy,L,0.936,0.99831663,0.110509979
4300,Plant.Rich.Asy,L,0.982,1.4,0
5200,Micro.Rich.CV,M,0.012,0.03786952,0.00095651
5100,Micro.Rich.CV,M,0.159,0.05836854,0.004138198
5000,Micro.Rich.CV,M,0.308,0.06463898,0.007270341
4900,Micro.Rich.CV,M,0.452,0.06146723,0.000723185
4800,Micro.Rich.CV,M,0.586,0.07296002,0.0009545
4700,Micro.Rich.CV,N,0.694,0.08819546,0.004119005
4600,Micro.Rich.CV,N,0.784,0.07778774,0.004214307
4500,Micro.Rich.CV,N,0.865,0.05830979,0.000375546
4400,Micro.Rich.CV,N,0.936,0.06988534,0.005866389
4300,Micro.Rich.CV,N,0.982,0.0974473,0.005894006
5200,Micro.Rich.Asy,O,0.012,1.0647215,0.023313737
5100,Micro.Rich.Asy,O,0.159,0.86921214,0.007476184
5000,Micro.Rich.Asy,O,0.308,1.24603791,0.126276284
4900,Micro.Rich.Asy,O,0.452,0.98443801,0.067368551
4800,Micro.Rich.Asy,O,0.586,1.09727085,0.11086991
4700,Micro.Rich.Asy,P,0.694,0.9675354,0.057148884
4600,Micro.Rich.Asy,P,0.784,0.95920353,0.04973422
4500,Micro.Rich.Asy,P,0.865,1.16745601,0.080140515
4400,Micro.Rich.Asy,P,0.936,1.32379796,0.124722312
4300,Micro.Rich.Asy,P,0.982,1.36157259,0.155262303
5200,EF.CV,AE,0.012,1.26212725,0.193126163
5100,EF.CV,AE,0.159,0.57405314,0.013833358
5000,EF.CV,AE,0.308,0.45845495,0.007985322
4900,EF.CV,AE,0.452,0.51040414,0.013353688
4800,EF.CV,AE,0.586,2.92840757,0
4700,EF.CV,AF,0.694,1.99636836,0.274141114
4600,EF.CV,AF,0.784,1.77791171,0.266604847
4500,EF.CV,AF,0.865,0.56089663,0.013026537
4400,EF.CV,AF,0.936,0.30884685,0.010710715
4300,EF.CV,AF,0.982,0.21298757,0.018446335
5200,EF.Asy,AG,0.012,0.5329965,0.048531328
5100,EF.Asy,AG,0.159,0.8667361,0.023163281
5000,EF.Asy,AG,0.308,0.97004585,0.065819131
4900,EF.Asy,AG,0.452,1.07993895,0.033971598
4800,EF.Asy,AG,0.586,1.36855512,0.147036148
4700,EF.Asy,AH,0.694,0.6550339,0.030444965
4600,EF.Asy,AH,0.784,1.51829019,0.034636073
4500,EF.Asy,AH,0.865,1.12843601,0.050353635
4400,EF.Asy,AH,0.936,1.1094997,0.134654684
4300,EF.Asy,AH,0.982,2.02861114,0.24054587
5200,Plant.Mass.CV,A,0.012,0.54621809,0.014694746
5100,Plant.Mass.CV,A,0.159,0.33442506,0.010494395
5000,Plant.Mass.CV,A,0.308,0.39549172,0.016952381
4900,Plant.Mass.CV,A,0.452,0.64644799,0.026483693
4800,Plant.Mass.CV,A,0.586,0.49786287,0.052032603
4700,Plant.Mass.CV,B,0.694,0.62298594,0.075516622
4600,Plant.Mass.CV,B,0.784,0.41277552,0.005609389
4500,Plant.Mass.CV,B,0.865,0.40628199,0.041658405
4400,Plant.Mass.CV,B,0.936,0.24191376,0.011331092
4300,Plant.Mass.CV,B,0.982,0.15227174,0
5200,Plant.Mass.Asy,C,0.012,1.26017955,0.049880967
5100,Plant.Mass.Asy,C,0.159,1.19150712,0.061791237
5000,Plant.Mass.Asy,C,0.308,1.09178223,0.135480126
4900,Plant.Mass.Asy,C,0.452,1.36378409,0.070119375
4800,Plant.Mass.Asy,C,0.586,1.71319256,0.258033002
4700,Plant.Mass.Asy,D,0.694,1.27943102,0.114671389
4600,Plant.Mass.Asy,D,0.784,1.04239706,0.040471523
4500,Plant.Mass.Asy,D,0.865,2.11222679,0.169129351
4400,Plant.Mass.Asy,D,0.936,1.29257679,0.344386355
4300,Plant.Mass.Asy,D,0.982,0.71428571,0
5200,Micro.PLFA.CV,E,0.012,0.18127004,0
5100,Micro.PLFA.CV,E,0.159,0.235541994,0
5000,Micro.PLFA.CV,E,0.308,0.660145045,0
4900,Micro.PLFA.CV,E,0.452,0.448877573,0
4800,Micro.PLFA.CV,E,0.586,0.752684431,0
4700,Micro.PLFA.CV,F,0.694,0.150389295,0
4600,Micro.PLFA.CV,F,0.784,0.461873754,0
4500,Micro.PLFA.CV,F,0.865,0.243212536,0
4400,Micro.PLFA.CV,F,0.936,0.32628818,0
